kjv,gist,root,type,meaning,kjgv,original,morph
,water,מַיִם|maiyim,m,waters,"הַ[מַ]יִם|ha[mai]yim|the [waters]",הַמָּ֑יִם,Hmd
"Gen 1:6 ג: and let it divide the waters from the waters.",,,,,,,,
,let,הָיֹה|haiyoh,V,exist,"וַיְ[הִי]|vaiye[hi]|and he [exist]",וִיהִ֣י,HViSA3ms
,divide,בָּדֹל|badol,V,"be separate","מַ[בְּדִיל]|ma[bedil]|making [separate]",מַבְדִּ֔יל,HVrCAmsa
,,בֵּין|bein,,between,[בֵּין]|[bein]|[between],בֵּ֥ין,H
,water,מַיִם|maiyim,m,waters,[מַ]יִם|[mai]yim|[waters],מַ֖יִם,Hmd
,water,מַיִם|maiyim,m,waters,"לְ[מַ]יִם׃|le[mai]yim|to [waters]",לָמָֽיִם׃,Hmd
"Gen 1:7 א: And God made the firmament,",,,,,,,,
,make,עָשֹׂה|asoh,V,make,"וַיַ[עֲשׂ]|vaiya[as]|and he [make]",וַיַּ֣עַשׂ,HViSA3ms
,God,אֱלֹה|eloh,M,"God (mighty one)","[אֱלֹהִ]ים|[eloh]im|[God] (mighty one)",אֱלֹהִים֮,Mp
,,אֵת|et,,even,[אֵת]־|[et]|[even],אֶת־,H
,firmament,רָקִיע|rakia,m,"overlay (hammering)","הַ[רָקִיע]|ha[rakia]|the [overlay] (hammering)",הָרָקִיעַ֒,Hms
"Gen 1:7 ב: and divided the waters which [were] under the firmament",,,,,,,,
,divide,בָּדֹל|badol,V,"be separate","וַיַ[בְּדִל]|vaiya[bedil]|and he make [separate]",וַיַּבְדֵּ֗ל,HViCA3ms
,,בֵּין|bein,,between,[בֵּין]|[bein]|[between],בֵּ֤ין,H
,water,מַיִם|maiyim,m,waters,"הַ[מַ]יִם|ha[mai]yim|the [waters]",הַמַּ֨יִם֙,Hmd
,which,אֲשֶׁר|asher,,"then that","[אֲשֶׁר]|[asher]|[then] [that]",אֲשֶׁר֙,H
,under,תָחַת|tachat,,below,"מִ[תָחַת]|mi[tachat]|from [below]",מִתַּ֣חַת,H
,firmament,רָקִיע|rakia,m,"overlay (hammering)","לְ[רָקִיע]|le[rakia]|to [overlay] (hammering)",לָרָקִ֔יעַ,Hms
"Gen 1:7 ג: from the waters which [were] above the firmament:",,,,,,,,
,from,בֵּין|bein,,between,"וּ[בֵּין]|u[bein]|and [between]",וּבֵ֣ין,H
,water,מַיִם|maiyim,m,waters,"הַ[מַ]יִם|ha[mai]yim|the [waters]",הַמַּ֔יִם,Hmd
,which,אֲשֶׁר|asher,,"then that","[אֲשֶׁר]|[asher]|[then] [that]",אֲשֶׁ֖ר,H
,above,עַל|al,,upon,"מִ[עַל]|mi[al]|from [upon]",מֵעַ֣ל,H
,firmament,רָקִיע|rakia,m,"overlay (hammering)","לְ[רָקִיע]|le[rakia]|to [overlay] (hammering)",לָרָקִ֑יעַ,Hms
"Gen 1:7 ד: and it was so.",,,,,,,,
,was,הָיֹה|haiyoh,V,exist,"וַיְ[הִי]־|vaiye[hi]|and he [exist]",וַֽיְהִי־,HViSA3ms
,so,כֵן|chen,,so,[כֵן]׃|[chen]|[so],כֵֽן׃,H
"Gen 1:8 א: And God called the firmament Heaven.",,,,,,,,
,call,קָרֹא|karo,V,call,"וַיִ[קְרַא]|vaiyi[kra]|and he [call]",וַיִּקְרָ֧א,HViSA3ms
,God,אֱלֹה|eloh,M,"God (mighty one)","[אֱלֹהִ]ים|[eloh]im|[God] (mighty one)",אֱלֹהִ֛ים,Mp
,firmament,רָקִיע|rakia,m,"overlay (hammering)","לְ[רָקִיע]|le[rakia]|to [overlay] (hammering)",לָֽרָקִ֖יעַ,Hms
,heaven,שָׁמָה|shamah,m,heaven,[שָׁמַ]יִם|[shamai]yim|[heavens],שָׁמָ֑יִם,Hmd
"Gen 1:8 ב: And the evening and the morning were the second day.",,,,,,,,
,were,הָיֹה|haiyoh,V,exist,"וַיְ[הִי]־|vaiye[hi]|and he [exist]",וַֽיְהִי־,HViSA3ms
,evening,עָרְב|arev,m,"evening (get dark)","[עָרְב]|[arev]|[evening] (get dark)",עֶ֥רֶב,Hms
,,הָיֹה|haiyoh,V,exist,"וַיְ[הִי]־|vaiye[hi]|and he [exist]",וַֽיְהִי־,HViSA3ms
,morning,בֹּקֶר|boker,m,"morning (be searched)","[בֹּקֶר]|[boker]|[morning] (be searched)",בֹ֖קֶר,Hms
,day,יוֹם|yom,m,day,[יוֹם]|[yom]|[day],י֥וֹם,Hms
,second,שֵׁנִי|sheni,m,"second (2nd)","[שֵׁנִי]׃פ|[sheni]|[second] (2nd)",שֵׁנִֽי׃פ,Hms
"Gen 1:9 א: And God said,",,,,,,,,
,say,אָמֹר|amor,V,say,"וַיֹ[אמֵר]|vaiyo[mer]|and he [say]",וַיֹּ֣אמֶר,HViSA3ms
,God,אֱלֹה|eloh,M,"God (mighty one)","[אֱלֹהִ]ים|[eloh]im|[God] (mighty one)",אֱלֹהִ֗ים,Mp
"Gen 1:9 ב: Let the waters under the heaven be gathered together unto one place,",,,,,,,,
,"gather together",קָוֹה|koh,V,"bind up","יִ[קֳו]וּ|yi[kav]u|let them be [bound] [up]",יִקָּו֨וּ,HVjSP3mp
,water,מַיִם|maiyim,m,waters,"הַ[מַ]יִם|ha[mai]yim|the [waters]",הַמַּ֜יִם,Hmd
,under,תָחַת|tachat,,below,"מִ[תָחַת]|mi[tachat]|from [below]",מִתַּ֤חַת,H
,heaven,שָׁמָה|shamah,m,heaven,"הַ[שָׁמַ]יִם|ha[shamai]yim|the [heavens]",הַשָּׁמַ֨יִם֙,Hmd
,unto,אֵלֶי|elei,,unto,[אֵל]־|[el]|[unto],אֶל־,H
,place,מֶקוֹם|mekom,m,place,[מֶקוֹם]|[mekom]|[place],מָק֣וֹם,Hms
,one,אֶחָד|echad,m,"one (1)","[אֶחָד]|[echad]|[one] (1)",אֶחָ֔ד,Hms
"Gen 1:9 ג: and let the dry [land] appear:",,,,,,,,
,appear,רָאֹה|raoh,V,see,"וְתֵ[רָאֵה]|vete[raeh]|that she be [seen]",וְתֵרָאֶ֖ה,HViSP3fs
,"dry land",יַבָּשָׁה|yabashah,f,"dry land","הַ[יַבָּשָׁה]|hai[yabashah]|the [dry] [land]",הַיַּבָּשָׁ֑ה,Hfs
"Gen 1:9 ד: and it was so.",,,,,,,,
,was,הָיֹה|haiyoh,V,exist,"וַיְ[הִי]־|vaiye[hi]|and he [exist]",וַֽיְהִי־,HViSA3ms
,so,כֵן|chen,,so,[כֵן]׃|[chen]|[so],כֵֽן׃,H
"Gen 1:10 א: And God called the dry [land] Earth;",,,,,,,,
,call,קָרֹא|karo,V,call,"וַיִ[קְרַא]|vaiyi[kra]|and he [call]",וַיִּקְרָ֨א,HViSA3ms
,God,אֱלֹה|eloh,M,"God (mighty one)","[אֱלֹהִ]ים׀|[eloh]im|[God] (mighty one)",אֱלֹהִ֤ים׀,Mp
,"dry land",יַבָּשָׁה|yabashah,f,"dry land","לְ[יַבָּשָׁה]|lei[yabashah]|to [dry] [land]",לַיַּבָּשָׁה֙,Hfs
,earth,אָרֶץ|aretz,b,"earth (land)","[אָרֶץ]|[aretz]|[earth] (land)",אֶ֔רֶץ,Hbs
"Gen 1:10 ב: and the gathering together of the waters called he Seas:",,,,,,,,
,"gathering together",מִקְוֵה|mikveh,m,"reservoir (wait expectantly you of)","וּלְ[מִקְוֵה]|ule[mikveh]|and to [reservoir] (wait expectantly you of)",וּלְמִקְוֵ֥ה,Hms
,water,מַיִם|maiyim,m,waters,"הַ[מַ]יִם|ha[mai]yim|the [waters]",הַמַּ֖יִם,Hmd
,call,קָרֹא|karo,V,call,"[קָרַא]|[kara]|he [call]",קָרָ֣א,HVpSA3ms
,sea,יָם|yam,m,sea,[יָמִ]ים|[yam]im|[seas],יַמִּ֑ים,Hmp
"Gen 1:10 ג: and God saw that [it was] good.",,,,,,,,
,see,רָאֹה|raoh,V,see,"וַיִ[רְא]|vaiyi[r]|and he [see]",וַיַּ֥רְא,HViSA3ms
,God,אֱלֹה|eloh,M,"God (mighty one)","[אֱלֹהִ]ים|[eloh]im|[God] (mighty one)",אֱלֹהִ֖ים,Mp
,that,כִּי|ki,,that,[כִּי]־|[ki]|[that],כִּי־,H
,good,טוֹב|tov,m,good,[טוֹב]׃|[tov]|[good],טֽוֹב׃,Hms
"Gen 1:11 א: And God said,",,,,,,,,
,say,אָמֹר|amor,V,say,"וַיֹ[אמֵר]|vaiyo[mer]|and he [say]",וַיֹּ֣אמֶר,HViSA3ms
,God,אֱלֹה|eloh,M,"God (mighty one)","[אֱלֹהִ]ים|[eloh]im|[God] (mighty one)",אֱלֹהִ֗ים,Mp
"Gen 1:11 ב: Let the earth bring forth grass,",,,,,,,,
,"bring forth",דָשֹׁא|dasho,V,sprout,"תַ[דְשִׁא]|ta[dshi]|let her do [sprout]",תַּֽדְשֵׁ֤א,HVjCA3fs
,earth,אָרֶץ|aretz,b,"earth (land)","הַ[אָרֶץ]|ha[aretz]|the [earth] (land)",הָאָ֨רֶץ֙,Hbs
,grass,דֶשֶׁא|deshe,m,sprouting,[דֶשֶׁא]|[deshe]|[sprouting],דֶּ֔שֶׁא,Hms
"Gen 1:11 ג: the herb yielding seed,",,,,,,,,
,herb,עֵשֶׂב|esev,m,herb,[עֵשֶׂב]|[esev]|[herb],עֵ֚שֶׂב,Hms
,yield,זָרֹע|zaroa,V,sow,"מַ[זְרִיע]|ma[zria]|do be [sowing]",מַזְרִ֣יעַ,HVrCAmsa
,seed,זַרְע|zarea,m,seed,[זַרְע]|[zarea]|[seed],זֶ֔רַע,Hms
"Gen 1:11 ד: [and] the fruit tree yielding fruit after his kind,",,,,,,,,
,tree,עֵץ|etz,m,"tree (make firm)","[עֵץ]|[etz]|[tree] (make firm)",עֵ֣ץ,Hms
,fruit,פְרִי|feri,m,fruitfulness,[פְרִי]|[feri]|[fruitfulness],פְּרִ֞י,Hms
,yield,עָשֹׂה|asoh,V,do,[עֹשֵׂה]|[oseh]|[doing],עֹ֤שֶׂה,HVrSAmsa
,fruit,פְרִי|feri,m,fruitfulness,[פְרִי]|[feri]|[fruitfulness],פְּרִי֙,Hms
,"after kind",מִין|min,m,similarity,"לְ[מִינ]וֹ|le[min]o|to [similarity] him",לְמִינ֔וֹ,Hms
"Gen 1:11 ה: whose seed [is] in itself, upon the earth:",,,,,,,,
,whose,אֲשֶׁר|asher,,"then that","[אֲשֶׁר]|[asher]|[then] [that]",אֲשֶׁ֥ר,H
,seed,זַרְע|zarea,m,seed,"[זַרְע]וֹ־|[zar]o|[seed] him",זַרְעוֹ־,Hms
,,|,,,"בּוֹ|bo|in him",ב֖וֹ,
,upon,עַל|al,,upon,[עַל]־|[al]|[upon],עַל־,H
